сокол	со́ко́л
гальванометриею	гальваноме́три́ею
гальванометриями	гальваноме́три́ями
гальванометриях	гальваноме́три́ях
гастрография	гастрогра́фи́я
гастрографии	гастрогра́фи́и
гастрографий	гастрогра́фи́й
гастрографиям	гастрогра́фи́ям
гастрографию	гастрогра́фи́ю
гастрографией	гастрогра́фи́ей
гастрографиею	гастрогра́фи́ею
гастрографиями	гастрогра́фи́ями
гастрографиях	гастрогра́фи́ях
гемералопия	гемерало́пи́я
гемералопии	гемерало́пи́и
гемералопий	гемерало́пи́й
гемералопиям	гемерало́пи́ям
гемералопию	гемерало́пи́ю
гемералопией	гемерало́пи́ей
гемералопиею	гемерало́пи́ею
гемералопиями	гемерало́пи́ями
гемералопиях	гемерало́пи́ях
геронтофилия	геронтофи́ли́я
*геронтофилии	*геронтофи́ли́и
геронтофилии	геронтофи́ли́и
*геронтофилий	*геронтофи́ли́й
*геронтофилиям	*геронтофи́ли́ям
геронтофилию	геронтофи́ли́ю
геронтофилией	геронтофи́ли́ей
геронтофилиею	геронтофи́ли́ею
*геронтофилиями	*геронтофи́ли́ями
*геронтофилиях	*геронтофи́ли́ях
гипнопедия	гипнопе́ди́я
гипнопедии	гипнопе́ди́и
гипнопедий	гипнопе́ди́й
гипнопедиям	гипнопе́ди́ям
гипнопедию	гипнопе́ди́ю
гипнопедией	гипнопе́ди́ей
гипнопедиею	гипнопе́ди́ею
гипнопедиями	гипнопе́ди́ями
гипнопедиях	гипнопе́ди́ях
денситометрия	денситоме́три́я
денситометрии	денситоме́три́и
денситометрий	денситоме́три́й
денситометриям	денситоме́три́ям
денситометрию	денситоме́три́ю
денситометрией	денситоме́три́ей
денситометриею	денситоме́три́ею
денситометриями	денситоме́три́ями
денситометриях	денситоме́три́ях
деревенька	дере́ве́нька
деревеньки	дере́ве́ньки
деревенек	дере́ве́нек
деревеньке	дере́ве́ньке
деревенькам	дере́ве́нькам
деревеньку	дере́ве́ньку
деревенькой	дере́ве́нькой
деревенькою	дере́ве́нькою
деревеньками	дере́ве́ньками
деревеньках	дере́ве́ньках
диоптрия	дио́птри́я
диоптрии	дио́птри́и
диоптрий	дио́птри́й
диоптриям	дио́птри́ям
диоптрию	дио́птри́ю
диоптрией	дио́птри́ей
диоптриею	дио́птри́ею
диоптриями	дио́птри́ями
диоптриях	дио́птри́ях
дозиметрия	дозиме́три́я
дозиметрии	дозиме́три́и
дозиметрий	дозиме́три́й
дозиметриям	дозиме́три́ям
дозиметрию	дозиме́три́ю
дозиметрией	дозиме́три́ей
дозиметриею	дозиме́три́ею
дозиметриями	дозиме́три́ями
дозиметриях	дозиме́три́ях
досочка	до́со́чка
досочки	до́со́чки
досочек	до́со́чек
досочке	до́со́чке
